KundenID;Geschlecht;Geburtsdatum;Adresse;PLZ;Ort
10000;divers;1996-03-02;Musterstraße 17;80331;München
10001;männlich;1949-01-20;Musterstraße 6;60311;Frankfurt
10002;männlich;1948-06-06;Musterstraße 22;80331;München
10003;weiblich;1989-06-03;Musterstraße 14;40213;Düsseldorf
10004;männlich;1986-03-24;Musterstraße 59;50667;Köln
10005;divers;2009-02-22;Musterstraße 62;04109;Leipzig
10006;weiblich;2004-11-25;Musterstraße 13;04109;Leipzig
10007;männlich;1992-03-04;Musterstraße 58;40213;Düsseldorf
10008;divers;1990-05-08;Musterstraße 70;10115;Berlin
10009;divers;1958-03-26;Musterstraße 19;10115;Berlin
10010;divers;1961-04-05;Musterstraße 42;45127;Essen
10011;weiblich;1946-04-08;Musterstraße 25;40213;Düsseldorf
10012;divers;1991-02-22;Musterstraße 59;40213;Düsseldorf
10013;weiblich;2001-10-06;Musterstraße 45;50667;Köln
10014;männlich;1953-01-20;Musterstraße 53;60311;Frankfurt
10015;divers;1972-04-09;Musterstraße 80;20095;Hamburg
10016;divers;1962-03-01;Musterstraße 32;44135;Dortmund
10017;männlich;1956-07-05;Musterstraße 38;10115;Berlin
10018;divers;1989-07-23;Musterstraße 53;04109;Leipzig
10019;weiblich;1962-07-01;Musterstraße 33;10115;Berlin
10020;divers;1987-11-18;Musterstraße 28;40213;Düsseldorf
10021;divers;1971-01-29;Musterstraße 92;60311;Frankfurt
10022;divers;1972-03-27;Musterstraße 18;04109;Leipzig
10023;divers;1960-05-15;Musterstraße 43;04109;Leipzig
10024;divers;1971-03-28;Musterstraße 33;45127;Essen
10025;divers;1973-03-11;Musterstraße 77;50667;Köln
10026;männlich;1950-06-20;Musterstraße 7;44135;Dortmund
10027;männlich;1993-03-04;Musterstraße 35;44135;Dortmund
10028;weiblich;1978-05-14;Musterstraße 19;10115;Berlin
10029;männlich;1975-02-20;Musterstraße 14;80331;München
10030;weiblich;1942-05-31;Musterstraße 82;44135;Dortmund
10031;männlich;2003-10-13;Musterstraße 51;44135;Dortmund
10032;divers;1968-04-18;Musterstraße 79;40213;Düsseldorf
10033;divers;2009-03-16;Musterstraße 5;60311;Frankfurt
10034;männlich;1950-06-08;Musterstraße 47;80331;München
10035;weiblich;1976-05-15;Musterstraße 87;04109;Leipzig
10036;männlich;1953-04-23;Musterstraße 47;20095;Hamburg
10037;divers;1977-12-17;Musterstraße 48;10115;Berlin
10038;männlich;1949-01-20;Musterstraße 51;70173;Stuttgart
10039;divers;1945-02-18;Musterstraße 3;44135;Dortmund
10040;männlich;1941-09-26;Musterstraße 5;04109;Leipzig
10041;männlich;2002-08-06;Musterstraße 9;44135;Dortmund
10042;männlich;1974-07-07;Musterstraße 40;50667;Köln
10043;divers;1966-08-13;Musterstraße 53;20095;Hamburg
10044;männlich;1991-03-16;Musterstraße 40;20095;Hamburg
10045;männlich;1984-05-12;Musterstraße 51;40213;Düsseldorf
10046;weiblich;1959-01-01;Musterstraße 81;44135;Dortmund
10047;männlich;1981-07-26;Musterstraße 54;45127;Essen
10048;weiblich;1948-10-06;Musterstraße 24;45127;Essen
10049;divers;1994-10-12;Musterstraße 37;44135;Dortmund
10050;divers;1948-04-10;Musterstraße 73;80331;München
10051;männlich;1982-12-01;Musterstraße 8;40213;Düsseldorf
10052;männlich;1988-10-19;Musterstraße 93;04109;Leipzig
10053;männlich;1951-11-08;Musterstraße 26;10115;Berlin
10054;divers;1986-02-08;Musterstraße 48;40213;Düsseldorf
10055;männlich;1970-02-07;Musterstraße 21;04109;Leipzig
10056;weiblich;2005-06-20;Musterstraße 91;70173;Stuttgart
10057;männlich;1943-03-10;Musterstraße 34;60311;Frankfurt
10058;divers;1965-04-10;Musterstraße 11;40213;Düsseldorf
10059;weiblich;1956-09-27;Musterstraße 26;70173;Stuttgart
10060;männlich;1942-01-27;Musterstraße 10;70173;Stuttgart
10061;weiblich;1968-07-29;Musterstraße 5;44135;Dortmund
10062;weiblich;1992-07-10;Musterstraße 93;60311;Frankfurt
10063;männlich;1945-09-17;Musterstraße 77;70173;Stuttgart
10064;divers;1975-01-24;Musterstraße 81;20095;Hamburg
10065;männlich;2004-04-05;Musterstraße 64;40213;Düsseldorf
10066;weiblich;1988-08-28;Musterstraße 63;45127;Essen
10067;männlich;1947-02-28;Musterstraße 16;60311;Frankfurt
10068;männlich;1949-11-07;Musterstraße 28;04109;Leipzig
10069;divers;1960-07-18;Musterstraße 84;50667;Köln
10070;männlich;2002-09-03;Musterstraße 4;10115;Berlin
10071;männlich;1988-05-10;Musterstraße 20;04109;Leipzig
10072;männlich;1953-04-28;Musterstraße 49;04109;Leipzig
10073;männlich;1982-08-28;Musterstraße 46;04109;Leipzig
10074;weiblich;1964-09-03;Musterstraße 23;50667;Köln
10075;männlich;2000-06-02;Musterstraße 26;20095;Hamburg
10076;männlich;1981-01-13;Musterstraße 22;04109;Leipzig
10077;weiblich;1980-12-16;Musterstraße 76;10115;Berlin
10078;männlich;1960-07-15;Musterstraße 29;10115;Berlin
10079;weiblich;1994-09-22;Musterstraße 69;20095;Hamburg
10080;divers;1959-04-29;Musterstraße 17;50667;Köln
10081;weiblich;1977-06-25;Musterstraße 77;20095;Hamburg
10082;divers;1951-09-10;Musterstraße 14;80331;München
10083;divers;1947-05-13;Musterstraße 52;20095;Hamburg
10084;weiblich;1968-04-10;Musterstraße 80;20095;Hamburg
10085;männlich;1977-10-14;Musterstraße 24;70173;Stuttgart
10086;weiblich;1986-05-03;Musterstraße 68;20095;Hamburg
10087;männlich;2004-03-12;Musterstraße 33;04109;Leipzig
10088;weiblich;1974-11-26;Musterstraße 63;04109;Leipzig
10089;männlich;1963-02-06;Musterstraße 62;60311;Frankfurt
10090;divers;1940-04-16;Musterstraße 65;60311;Frankfurt
10091;männlich;1968-03-21;Musterstraße 22;44135;Dortmund
10092;männlich;2003-07-25;Musterstraße 58;60311;Frankfurt
10093;weiblich;1958-06-09;Musterstraße 42;45127;Essen
